,Company,Country,Location,Date,Rocket,Mission
1120,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",12/12/1972,Molniya-M /Block L,Molniya-2 nâ Â­31
1121,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",14/12/1972,Voskhod,Cosmos 538
1122,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",19/12/1972,Saturn V,Apollo 17
1123,General Dynamics,USA,"LC-13, Cape Canaveral AFS, Florida, USA",20/12/1972,Atlas-SLV3A Agena-D,AFP-827 (Canyon-5)
1124,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",21/12/1972,Cosmos-3M (11K65M),Cosmos 539
1125,US Air Force,USA,"SLC-4W, Vandenberg AFB, California, USA",21/12/1972,Titan III(24)B,OPS 3978
1126,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",25/12/1972,Cosmos-3M (11K65M),Cosmos 540
1127,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",27/12/1972,Soyuz M,Cosmos 541
1128,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",28/12/1972,Vostok-2M,Cosmos 542
1129,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",11/01/1973,Voskhod,Cosmos 543
1130,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",20/01/1973,Cosmos-3M (11K65M),Cosmos 544
1131,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",24/01/1973,Cosmos-2I (63SM),Cosmos 545
1132,RVSN USSR,Russia,"Site 107/1, Kapustin Yar, Russia",26/01/1973,Cosmos-3M (11K65M),Cosmos 546
1133,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",01/02/1973,Voskhod,Cosmos 547
1134,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",03/02/1973,Molniya-M /Block L,Molniya-1 nâ Â­32
1135,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",08/02/1973,Voskhod,Cosmos 548
1136,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",15/02/1973,Molniya-M /Block SO-L,Prognoz nâ Â­3
1137,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",28/02/1973,Cosmos-3M (11K65M),Cosmos 549
1138,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",01/03/1973,Voskhod,Cosmos 550
1139,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",06/03/1973,Voskhod,Cosmos 551
1140,General Dynamics,USA,"LC-13, Cape Canaveral AFS, Florida, USA",06/03/1973,Atlas-SLV3A Agena-D,AFP-720 (Rhyolite-2)
1141,Martin Marietta,USA,"SLC-4E, Vandenberg AFB, California, USA",09/03/1973,Titan IIID,KH-9
1142,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",20/03/1973,Vostok-2M,Meteor nâ Â­25
1143,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",22/03/1973,Voskhod,Cosmos 552
1144,RVSN USSR,Kazakhstan,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",03/04/1973,Proton K,Saliout-2
1145,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",05/04/1973,Molniya-M /Block L,Molniya-2 nâ Â­33
1146,General Dynamics,USA,"SLC-36B, Cape Canaveral AFS, Florida, USA",06/04/1973,Atlas-SLV3D Centaur-D1A,Pioneer 11
1147,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",12/04/1973,Cosmos-2I (63SM),Cosmos 553
1148,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",19/04/1973,Voskhod,Cosmos 554
1149,RVSN USSR,Russia,"Site 86/1, Kapustin Yar, Russia",19/04/1973,Cosmos-2I (63SM),Intercosmos-9
1150,RVSN USSR,Kazakhstan,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",25/04/1973,Tsyklon-2,Cosmos 556
1151,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",25/04/1973,Voskhod,Cosmos 555
1152,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",05/05/1973,Voskhod,Cosmos 554
1153,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",14/05/1973,Saturn V,Skylab 1
1154,US Air Force,USA,"SLC-4W, Vandenberg AFB, California, USA",16/05/1973,Titan III(24)B,OPS 2093
1155,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",17/05/1973,Cosmos-2I (63SM),Cosmos 558
1156,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",18/05/1973,Soyuz U,Cosmos 559
1157,CNES,France,"ELD, Guiana Space Centre, French Guiana, France",22/05/1973,Diamant B,Castor & Pollux
1158,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",23/05/1973,Voskhod,Cosmos 560
1159,RVSN USSR,Russia,"Site 86/1, Kapustin Yar, Russia",24/05/1973,Cosmos-3MRB (65MRB),BOR-3 Shuttle
1160,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",25/05/1973,Cosmos-3M (11K65M),Zaliv #17
1161,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",25/05/1973,Saturn IB,Skylab 2
1162,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",25/05/1973,Voskhod,Cosmos 561
1163,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",29/05/1973,Vostok-2M,Meteor nâ Â­26
