,Country,Company,Year,Rocket,MissionStatus,RocketStatus
280,USA,General Dynamics,1964,Atlas-LV3 Agena-D,Success,Retired
281,Kazakhstan,RVSN USSR,1964,Vostok-2,Success,Retired
282,Kazakhstan,RVSN USSR,1964,Voskhod,Success,Retired
283,USA,General Dynamics,1964,Atlas-LV3 Agena-D,Success,Retired
284,USA,NASA,1964,Saturn I,Success,Retired
285,Kazakhstan,RVSN USSR,1964,Molniya,Failure,Retired
286,Russia,RVSN USSR,1964,Cosmos-2I (63S1),Success,Retired
287,Kazakhstan,RVSN USSR,1964,Vostok-2,Success,Retired
288,Kazakhstan,RVSN USSR,1964,Vostok-2,Success,Retired
289,USA,General Dynamics,1964,Atlas-LV3C Centaur-C,Failure,Retired
290,Kazakhstan,RVSN USSR,1964,Voskhod,Success,Retired
291,USA,General Dynamics,1964,Atlas-LV3 Agena-D,Success,Retired
292,Kazakhstan,RVSN USSR,1964,Vostok,Success,Retired
293,Kazakhstan,RVSN USSR,1964,Vostok-2,Success,Retired
294,USA,General Dynamics,1964,Atlas-LV3 Agena-D,Success,Retired
295,USA,General Dynamics,1964,Atlas-LV3 Agena-B,Success,Retired
296,Russia,RVSN USSR,1964,Cosmos-2I (63S1),Success,Retired
297,Kazakhstan,RVSN USSR,1964,Vostok-2,Success,Retired
298,USA,General Dynamics,1964,Atlas-SLV3 Agena-D,Success,Retired
299,Kazakhstan,RVSN USSR,1964,Cosmos-1 (65S3),Success,Retired
300,Kazakhstan,RVSN USSR,1964,Molniya,Success,Retired
301,Russia,RVSN USSR,1964,Cosmos-2I (63S1),Success,Retired
302,Kazakhstan,RVSN USSR,1964,Vostok-2M,Success,Retired
303,USA,US Air Force,1964,Titan IIIA,Failure,Retired
304,USA,General Dynamics,1964,Atlas-LV3 Agena-B,Success,Retired
305,Kazakhstan,RVSN USSR,1964,Voskhod,Success,Retired
306,USA,NASA,1964,Saturn I,Success,Retired
307,USA,General Dynamics,1964,Atlas-SLV3 Agena-D,Success,Retired
308,Kazakhstan,RVSN USSR,1964,Vostok-2,Success,Retired
309,Kazakhstan,RVSN USSR,1964,Voskhod,Success,Retired
310,USA,General Dynamics,1964,Atlas-SLV3 Agena-D,Failure,Retired
311,Kazakhstan,RVSN USSR,1964,Voskhod,Success,Retired
312,Kazakhstan,RVSN USSR,1964,Vostok-2,Success,Retired
313,USA,General Dynamics,1964,Atlas-LV3 Agena-D,Success,Retired
314,Kazakhstan,RVSN USSR,1964,Cosmos-1 (65S3),Failure,Retired
315,Russia,RVSN USSR,1964,Cosmos-2I (63S1),Success,Retired
316,Kazakhstan,RVSN USSR,1964,Vostok-2,Success,Retired
317,USA,General Dynamics,1964,Atlas-LV3 Agena-D,Failure,Retired
318,USA,General Dynamics,1964,Atlas-LV3 Agena-D,Success,Retired
319,Kazakhstan,RVSN USSR,1964,Molniya,Success,Retired
320,Russia,RVSN USSR,1964,Cosmos-2I (63S1),Failure,Retired
321,USA,General Dynamics,1964,Atlas-SLV3 Agena-D,Success,Retired
322,Russia,RVSN USSR,1964,Cosmos-2I (63S1),Success,Retired
323,USA,US Air Force,1964,Titan IIIA,Success,Retired
324,USA,General Dynamics,1964,Atlas-LV3C Centaur-C,Partial Failure,Retired
325,Kazakhstan,RVSN USSR,1965,Vostok-2,Success,Retired
326,USA,NASA,1965,Titan II GLV,Success,Retired
327,USA,General Dynamics,1965,Atlas-D OV1,Failure,Retired
328,USA,General Dynamics,1965,Atlas-SLV3 Agena-D,Success,Retired
329,Russia,RVSN USSR,1965,Cosmos-2I (63S1),Success,Retired
330,USA,US Air Force,1965,Titan IIIA,Success,Retired
331,Russia,RVSN USSR,1965,Cosmos-2I (63S1),Failure,Retired
332,USA,NASA,1965,Saturn I,Success,Retired
333,USA,General Dynamics,1965,Atlas-LV3 Agena-B,Success,Retired
334,Russia,RVSN USSR,1965,Cosmos-2I (63S1),Failure,Retired
335,Kazakhstan,RVSN USSR,1965,Cosmos-1 (65S3),Success,Retired
336,Kazakhstan,RVSN USSR,1965,Voskhod,Success,Retired
337,Kazakhstan,RVSN USSR,1965,Vostok-2M,Success,Retired
338,USA,General Dynamics,1965,Atlas-LV3C Centaur-C,Failure,Retired
339,Kazakhstan,RVSN USSR,1965,Voskhod,Success,Retired
340,Kazakhstan,RVSN USSR,1965,Molniya,Success,Retired
341,USA,General Dynamics,1965,Atlas-SLV3 Agena-D,Success,Retired
342,Kazakhstan,RVSN USSR,1965,Cosmos-1 (65S3),Success,Retired
343,Kazakhstan,RVSN USSR,1965,Voskhod,Success,Retired
344,USA,General Dynamics,1965,Atlas-LV3 Agena-B,Success,Retired
345,USA,NASA,1965,Titan II GLV,Success,Retired
346,Kazakhstan,RVSN USSR,1965,Vostok-2,Success,Retired
347,USA,General Dynamics,1965,Atlas-SLV3 Agena-D,Success,Retired
348,Kazakhstan,RVSN USSR,1965,Molniya,Failure,Retired
349,Kazakhstan,RVSN USSR,1965,Voskhod,Success,Retired
350,Kazakhstan,RVSN USSR,1965,Molniya,Success,Retired
351,USA,General Dynamics,1965,Atlas-SLV3 Agena-D,Success,Retired
352,USA,US Air Force,1965,Titan IIIA,Success,Retired
353,Kazakhstan,RVSN USSR,1965,Vostok-2,Success,Retired
