,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Columna
2485,NASA,"LC-39A, Kennedy Space Center, Florida, USA",28/02/1990,07:50:00,Space Shuttle Atlantis,STS-36,Retired,450,Success,
2486,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",14/03/1990,11:52:00,Commercial Titan III,Intelsat 603,Retired,136.6,Failure,
2487,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",14/03/1990,15:27:00,Tsyklon-2,Cosmos 2060,Retired,,Success,
2488,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",20/03/1990,00:25:00,Cosmos-3M (11K65M),Cosmos 2061,Retired,,Success,
2489,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",26/03/1990,02:45:00,Delta II 6925,USA-54 (GPS II-7),Retired,,Success,GPS II-7
2490,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",27/03/1990,16:40:00,Molniya-M /Block 2BL,Cosmos 2063,Retired,,Success,
2491,IAI,"Pad 1, Palmachim Airbase, Israel",03/04/1990,,Shavit,Ofek-2,Retired,,Success,
2492,Northrop,"NB-52B Carrier, Edwards AFB, California, USA",05/04/1990,19:10:00,Pegasus,Pegsat & NavySat,Retired,40,Success,
2493,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",06/04/1990,03:12:00,Cosmos-3M (11K65M),Cosmos 2064 to 2071,Retired,,Success,
2494,CASC,"LC-3, Xichang Satellite Launch Center, China",07/04/1990,13:30:00,Long March 3,AsiaSat 1,Retired,,Success,
2495,Lockheed,"SLC-3W, Vandenberg AFB, California, USA",11/04/1990,15:00:00,Atlas-E/F Altair,USA-56/57/58,Retired,,Success,
2496,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",13/04/1990,22:28:00,Delta II 6925-8,Palapa B2R,Retired,,Success,
2497,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",20/04/1990,18:41:00,Cosmos-3M (11K65M),Cosmos 2074,Retired,,Success,
2498,NASA,"LC-39B, Kennedy Space Center, Florida, USA",24/04/1990,12:33:00,Space Shuttle Discovery,STS-31,Retired,450,Success,
2499,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",25/04/1990,13:00:00,Cosmos-3M (11K65M),Cosmos 2075,Retired,,Success,
2500,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",26/04/1990,01:37:00,Molniya-M /Block ML,Molniya-1 nâ Â­142,Retired,,Success,
2501,RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",28/04/1990,11:37:00,Molniya-M /Block 2BL,Cosmos 2076,Retired,,Success,
2502,RVSN USSR,"Site 45/2, Baikonur Cosmodrome, Kazakhstan",22/05/1990,05:14:00,Zenit-2,Cosmos 2082,Retired,,Success,
2503,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",01/06/1990,21:48:00,Delta II 6920-10,ROSAT,Retired,,Success,
2504,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",08/06/1990,05:22:00,Titan IV(405)A,SLDCOM & NOSS 3x,Retired,,Success,
2505,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",12/06/1990,05:52:00,Delta 4925-8,INSAT 1D,Retired,,Success,
2506,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",13/06/1990,01:07:00,Molniya-M /Block ML,Molniya-3 nâ Â­143,Retired,,Success,
2507,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",21/06/1990,20:45:00,Molniya-M /Block 2BL,Cosmos 2084,Retired,,Partial Failure,
2508,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",23/06/1990,11:19:00,Commercial Titan III,Intelsat 604,Retired,136.6,Success,
2509,RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",25/06/1990,22:29:00,Tsyklon-3,Meteor-2 nâ Â­19,Retired,,Success,
2510,CASC,"LC-2, Xichang Satellite Launch Center, China",16/07/1990,00:40:00,Long March 2E,"Optus-B, Badr-1, mass simulator",Retired,,Success,
2511,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",24/07/1990,22:25:00,Ariane 44L,"TDF-2, DFS-2",Retired,,Success,
2512,RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",25/07/1990,18:13:00,Molniya-M /Block 2BL,Cosmos 2087,Retired,,Success,
2513,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",25/07/1990,19:21:00,Atlas I,CRRES,Retired,,Success,
2514,RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",30/07/1990,00:06:00,Tsyklon-3,Cosmos 2088,Retired,,Success,
2515,RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",08/08/1990,14:15:00,Tsyklon-3,Cosmos 2090 to 2095,Retired,,Success,
2516,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",10/08/1990,20:18:00,Molniya-M /Block ML,Molniya-1 nâ Â­144,Retired,,Success,
2517,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",23/08/1990,16:17:00,Tsyklon-2,Cosmos 2096,Retired,,Success,
2518,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",28/08/1990,07:46:00,Molniya-M /Block 2BL,Cosmos 2097,Retired,,Success,
2519,MHI,"LA-Y1, Tanegashima Space Center, Japan",28/08/1990,09:05:00,H-I UM-129A (9SO),BS-3A,Retired,,Success,
2520,MHI,"SLC-N, Tanegashima Space Center, Japan",28/08/1990,09:05:00,H-I (9 SO),BS-3A (Yuri-3A),Retired,,Success,Yuri-3A
2521,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",28/08/1990,15:45:00,Cosmos-3M (11K65M),Cosmos 2098,Retired,,Success,
2522,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",30/08/1990,22:46:00,Ariane 44L,"Skynet 4C, Eutelsat 2F1",Retired,,Success,
2523,CASC,"Taiyuan Satellite Launch Center, China",03/09/1990,00:53:00,Long March 4A,Fengyun-1B,Retired,,Success,
2524,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",14/09/1990,05:59:00,Cosmos-3M (11K65M),Cosmos 2100,Retired,,Success,
2525,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",20/09/1990,20:16:00,Molniya-M /Block ML,Molniya-3 nâ Â­145,Retired,,Success,
2526,RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",28/09/1990,07:30:00,Tsyklon-3,Meteor-2 nâ Â­20,Retired,,Success,
