Company,Location,Date,Rocket,Mission,RocketStatus,MissionStatus,Country
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",28/07/1971,Voskhod,Cosmos 512,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",30/07/1971,Voskhod,Cosmos 431,Retired,Success,Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",03/08/1971,Cosmos-2I (63SM),DS-P1-You #33,Retired,Failure,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",05/08/1971,Voskhod,Cosmos 432,Retired,Success,Kazakhstan
General Dynamics,"LC-576A2, Vandenberg AFB, California, USA",07/08/1971,Atlas-E/F OV1,OV1-20 OV1-21,Retired,Success,USA
RVSN USSR,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",08/08/1971,Tsyklon,Cosmos 433,Retired,Success,Kazakhstan
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",12/08/1971,Titan III(24)B,OPS 8607,Retired,Success,USA
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",19/08/1971,Voskhod,Zenit-2M n†­22,Retired,Failure,Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",27/08/1971,Cosmos-2I (63SM),Cosmos 435,Retired,Success,Russia
RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",02/09/1971,Proton K/Block D,Luna-18,Retired,Success,Kazakhstan
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",07/09/1971,Cosmos-3M (11K65M),Cosmos 436,Retired,Success,Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",10/09/1971,Cosmos-3M (11K65M),Cosmos 437,Retired,Success,Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",14/09/1971,Voskhod,Cosmos 438,Retired,Success,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",21/09/1971,Voskhod,Cosmos 439,Retired,Success,Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",24/09/1971,Cosmos-2I (63SM),Cosmos 440,Retired,Success,Russia
ISAS,"Mu Pad, Uchinoura Space Center, Japan",28/09/1971,Mu-IV S,Shinsei,Retired,Success,Japan
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",28/09/1971,Voskhod,Cosmos 441,Retired,Success,Kazakhstan
RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",28/09/1971,Proton K/Block D,Luna-19,Retired,Success,Kazakhstan
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",29/09/1971,Voskhod,Cosmos 442,Retired,Success,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",07/10/1971,Voskhod,Cosmos 443,Retired,Success,Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",13/10/1971,Cosmos-3M (11K65M),Cosmos 444 to 451,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",14/10/1971,Voskhod,Cosmos 452,Retired,Success,Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",19/10/1971,Cosmos-2I (63SM),Cosmos 453,Retired,Success,Russia
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",23/10/1971,Titan III(24)B,OPS 7616,Retired,Success,USA
RAE,"LA-5B, RAAF Woomera Range Complex, Australia",28/10/1971,Black Arrow,Prospero,Retired,Success,Australia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",02/11/1971,Voskhod,Cosmos 454,Retired,Success,Russia
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",03/11/1971,Titan III(23)C,DSCS-II 1&2,Retired,Success,USA
CECLES,"ELA-1, Guiana Space Centre, French Guiana, France",04/11/1971,Europa 2,Test flight,Retired,Failure,France
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",15/11/1971,Scout B,Explorer 45,Retired,Success,Kenya
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",17/11/1971,Cosmos-2I (63SM),Cosmos 455,Retired,Success,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",19/11/1971,Voskhod,Cosmos 456,Retired,Partial Failure,Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",20/11/1971,Cosmos-3M (11K65M),Cosmos 457,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",24/11/1971,Molniya-M /Block L,Molniya-2 n†­24,Retired,Success,Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",29/11/1971,Cosmos-2I (63SM),Cosmos 458,Retired,Success,Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",29/11/1971,Cosmos-3M (11K65M),Cosmos 459,Retired,Success,Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",30/11/1971,Cosmos-3M (11K65M),Cosmos 460,Retired,Success,Russia
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",02/12/1971,Cosmos-2I (63SM),Intercosmos-5,Retired,Success,Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",02/12/1971,Cosmos-3M (11K65M),Cosmos 461,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",03/12/1971,Voskhod,Zenit-2M n†­25,Retired,Failure,Russia
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",03/12/1971,Tsyklon-2,Cosmos 462,Retired,Success,Kazakhstan
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",04/12/1971,Atlas-SLV3A Agena-D,AFP-827 (Canyon-4),Retired,Failure,USA
CNES,"ELD, Guiana Space Centre, French Guiana, France",05/12/1971,Diamant B,Polaire,Retired,Failure,France
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",06/12/1971,Voskhod,Cosmos 463,Retired,Success,Kazakhstan
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",10/12/1971,Voskhod,Cosmos 464,Retired,Success,Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",15/12/1971,Cosmos-3M (11K65M),Cosmos 465,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",16/12/1971,Voskhod,Cosmos 466,Retired,Success,Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",17/12/1971,Cosmos-2I (63SM),Cosmos 467,Retired,Success,Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",17/12/1971,Cosmos-3M (11K65M),Cosmos 468,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",19/12/1971,Molniya-M /Block L,Molniya-1 n†­25,Retired,Success,Russia
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",20/12/1971,Atlas-SLV3C Centaur-D,Intelsat 4 F3,Retired,Success,USA
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",25/12/1971,Tsyklon-2,Cosmos 469,Retired,Success,Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",27/12/1971,Soyuz M,Cosmos 470,Retired,Partial Failure,Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",27/12/1971,Cosmos-3M (11K65M),Oreol,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",29/12/1971,Vostok-2M,Meteor n†­21,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",12/01/1972,Voskhod,Cosmos 471,Retired,Success,Kazakhstan
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",20/01/1972,Titan IIID,KH-9 & SSF-B-22,Retired,Success,USA
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",23/01/1972,Atlas-SLV3C Centaur-D,Intelsat 4 F4,Retired,Success,USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",25/01/1972,Cosmos-2I (63SM),Cosmos 472,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",03/02/1972,Voskhod,Cosmos 473,Retired,Success,Kazakhstan
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",08/02/1972,Cosmos-3MRB (65MRB),BOR-2 Shuttle,Retired,Success,Russia
RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",14/02/1972,Proton K/Block D,Luna-20,Retired,Success,Kazakhstan
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",16/02/1972,Voskhod,Cosmos 474,Retired,Success,Kazakhstan
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",16/02/1972,Titan-III(33)B Agena-D,Jumpseat 2,Retired,Failure,USA
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",25/02/1972,Cosmos-3M (11K65M),Cosmos 475,Retired,Success,Russia
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",01/03/1972,Titan III(23)C,DSP-3,Retired,Success,USA
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",01/03/1972,Vostok-2M,Cosmos 476,Retired,Success,Russia
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",03/03/1972,Atlas-SLV3C Centaur-D,Pioneer 10,Retired,Success,USA
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",04/03/1972,Voskhod,Cosmos 477,Retired,Success,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",15/03/1972,Voskhod,Cosmos 478,Retired,Success,Russia
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",17/03/1972,Titan III(24)B,OPS 1678,Retired,Success,USA
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",22/03/1972,Cosmos-3M (11K65M),Cosmos 479,Retired,Success,Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",25/03/1972,Cosmos-3M (11K65M),Cosmos 480,Retired,Success,Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",25/03/1972,Cosmos-2I (63SM),Cosmos 481,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",27/03/1972,Molniya-M /Block NVL,Venera 8,Retired,Success,Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",30/03/1972,Vostok-2M,Meteor n†­22,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",31/03/1972,Molniya-M /Block NVL,Cosmos 482,Retired,Partial Failure,Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",03/04/1972,Voskhod,Cosmos 483,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",04/04/1972,Molniya-M /Block L,Molniya-1 n†­26 & SRET-1,Retired,Success,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",06/04/1972,Voskhod,Cosmos 484,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",07/04/1972,Voskhod,Intercosmos-6,Retired,Success,Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",11/04/1972,Cosmos-2I (63SM),Cosmos 485,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",12/04/1972,Molniya-M /Block SO-L,Prognoz n†­1,Retired,Success,Kazakhstan
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",14/04/1972,Voskhod,Cosmos 486,Retired,Success,Russia
NASA,"LC-39A, Kennedy Space Center, Florida, USA",16/04/1972,Saturn V,Apollo 16,Retired,Success,USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",21/04/1972,Cosmos-2I (63SM),Cosmos 487,Retired,Success,Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",25/04/1972,Cosmos-2I (63SM),DS-P1-You #51,Retired,Failure,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",05/05/1972,Voskhod,Cosmos 488,Retired,Success,Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",06/05/1972,Cosmos-3M (11K65M),Cosmos 489,Retired,Success,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",17/05/1972,Voskhod,Cosmos 490,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",19/05/1972,Molniya-M /Block L,Molniya-2 n†­27,Retired,Success,Russia
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",20/05/1972,Titan III(24)B,OPS 6574,Retired,Failure,USA
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",25/05/1972,Voskhod,Cosmos 491,Retired,Success,Kazakhstan
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",09/06/1972,Voskhod,Cosmos 492,Retired,Success,Kazakhstan
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",13/06/1972,Atlas-SLV3C Centaur-D,Intelsat 4 F5,Retired,Success,USA
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",21/06/1972,Voskhod,Cosmos 493,Retired,Success,Kazakhstan
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",23/06/1972,Cosmos-3M (11K65M),Cosmos 494,Retired,Success,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",23/06/1972,Voskhod,Cosmos 495,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",29/06/1972,Molniya-M /Block SO-L,Prognoz n†­2,Retired,Success,Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",30/06/1972,Cosmos-2I (63SM),Cosmos 497,Retired,Success,Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",30/06/1972,Vostok-2M,Meteor n†­23,Retired,Success,Russia
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",02/07/1972,Soyuz,Cosmos 496,Retired,Success,Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",05/07/1972,Cosmos-2I (63SM),Cosmos 498,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",06/07/1972,Voskhod,Cosmos 499,Retired,Success,Kazakhstan
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",07/07/1972,Titan IIID,KH-9 & SSF-B-23,Retired,Success,USA
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",10/07/1972,Cosmos-3M (11K65M),Cosmos 500,Retired,Success,Russia
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",12/07/1972,Cosmos-2I (63SM),Cosmos 501,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",13/07/1972,Soyuz M,Cosmos 502,Retired,Partial Failure,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",19/07/1972,Voskhod,Cosmos 503,Retired,Success,Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",20/07/1972,Cosmos-3M (11K65M),Cosmos 504 to 511,Retired,Success,Russia
RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",29/07/1972,Proton K/Block D,DOS-2,Retired,Failure,Kazakhstan
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",02/08/1972,Voskhod,Cosmos 513,Retired,Success,Kazakhstan
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",10/08/1972,Feng Bao 1,Shiyan Peizhong,Retired,Success,China
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",16/08/1972,Cosmos-3M (11K65M),Cosmos 514,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",18/08/1972,Voskhod,Cosmos 515,Retired,Success,Russia
ISAS,"Mu Pad, Uchinoura Space Center, Japan",19/08/1972,Mu-IV S,Denpa,Retired,Success,Japan
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",21/08/1972,Atlas-SLV3C Centaur-D,OAO-3,Retired,Success,USA
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",21/08/1972,Tsyklon-2,Cosmos 516,Retired,Success,Kazakhstan
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",30/08/1972,Cosmos-2I (63SM),Intercosmos-7,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",30/08/1972,Voskhod,Cosmos 517,Retired,Success,Kazakhstan
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",01/09/1972,Titan III(24)B,OPS 8888,Retired,Success,USA
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",02/09/1972,Voskhod,Zenit-4M n†­40,Retired,Failure,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",15/09/1972,Voskhod,Cosmos 518,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",16/09/1972,Voskhod,Cosmos 519,Retired,Success,Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",19/09/1972,Molniya-M /Block 2BL,Cosmos 520,Retired,Success,Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",29/09/1972,Cosmos-3M (11K65M),Cosmos 521,Retired,Success,Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",30/09/1972,Molniya-M /Block L,Molniya-2 n†­28,Retired,Success,Russia
General Dynamics,"LC-576A1, Vandenberg AFB, California, USA",02/10/1972,Atlas-E/F Burner,P72-1,Retired,Success,USA
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",04/10/1972,Voskhod,Cosmos 522,Retired,Success,Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",05/10/1972,Cosmos-2I (63SM),Cosmos 523,Retired,Success,Russia
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",10/10/1972,Titan IIID,KH-9 & SSF-C-3,Retired,Success,USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",11/10/1972,Cosmos-2I (63SM),Cosmos 524,Retired,Success,Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",14/10/1972,Molniya-M /Block L,Molniya-1 n†­29,Retired,Success,Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",17/10/1972,Cosmos-3M (11K65M),Strela-2M satellite,Retired,Failure,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",18/10/1972,Voskhod,Cosmos 525,Retired,Success,Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",25/10/1972,Cosmos-2I (63SM),Cosmos 526,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",26/10/1972,Vostok-2M,Meteor n†­24,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",31/10/1972,Voskhod,Cosmos 527,Retired,Success,Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",01/11/1972,Cosmos-3M (11K65M),Cosmos 528 to 535,Retired,Success,Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",03/11/1972,Cosmos-3M (11K65M),Cosmos 536,Retired,Success,Russia
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",15/11/1972,Scout D1,Explorer 48,Retired,Success,Kenya
RVSN USSR,"Site 110/37, Baikonur Cosmodrome, Kazakhstan",23/11/1972,N1-L3,7L (Soyuz 7K-LOK No.1),Retired,Failure,Kazakhstan
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",25/11/1972,Voskhod,Cosmos 537,Retired,Success,Kazakhstan
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",30/11/1972,Cosmos-2I (63SM),Intercosmos-8,Retired,Success,Russia
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",02/12/1972,Molniya-M /Block L,Molniya-1 n†­30,Retired,Success,Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",12/12/1972,Molniya-M /Block L,Molniya-2 n†­31,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",14/12/1972,Voskhod,Cosmos 538,Retired,Success,Russia
NASA,"LC-39A, Kennedy Space Center, Florida, USA",19/12/1972,Saturn V,Apollo 17,Retired,Success,USA
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",20/12/1972,Atlas-SLV3A Agena-D,AFP-827 (Canyon-5),Retired,Success,USA
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",21/12/1972,Cosmos-3M (11K65M),Cosmos 539,Retired,Success,Russia
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",21/12/1972,Titan III(24)B,OPS 3978,Retired,Success,USA
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",25/12/1972,Cosmos-3M (11K65M),Cosmos 540,Retired,Success,Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",27/12/1972,Soyuz M,Cosmos 541,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",28/12/1972,Vostok-2M,Cosmos 542,Retired,Partial Failure,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",11/01/1973,Voskhod,Cosmos 543,Retired,Success,Kazakhstan
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",20/01/1973,Cosmos-3M (11K65M),Cosmos 544,Retired,Success,Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",24/01/1973,Cosmos-2I (63SM),Cosmos 545,Retired,Success,Russia
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",26/01/1973,Cosmos-3M (11K65M),Cosmos 546,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",01/02/1973,Voskhod,Cosmos 547,Retired,Success,Kazakhstan
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",03/02/1973,Molniya-M /Block L,Molniya-1 n†­32,Retired,Success,Kazakhstan
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",08/02/1973,Voskhod,Cosmos 548,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",15/02/1973,Molniya-M /Block SO-L,Prognoz n†­3,Retired,Success,Kazakhstan
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",28/02/1973,Cosmos-3M (11K65M),Cosmos 549,Retired,Success,Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",01/03/1973,Voskhod,Cosmos 550,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",06/03/1973,Voskhod,Cosmos 551,Retired,Success,Kazakhstan
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",06/03/1973,Atlas-SLV3A Agena-D,AFP-720 (Rhyolite-2),Retired,Success,USA
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",09/03/1973,Titan IIID,KH-9,Retired,Success,USA
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",20/03/1973,Vostok-2M,Meteor n†­25,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",22/03/1973,Voskhod,Cosmos 552,Retired,Success,Russia
RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",03/04/1973,Proton K,Saliout-2,Retired,Success,Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",05/04/1973,Molniya-M /Block L,Molniya-2 n†­33,Retired,Success,Russia
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",06/04/1973,Atlas-SLV3D Centaur-D1A,Pioneer 11,Retired,Success,USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",12/04/1973,Cosmos-2I (63SM),Cosmos 553,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",19/04/1973,Voskhod,Cosmos 554,Retired,Success,Russia
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",19/04/1973,Cosmos-2I (63SM),Intercosmos-9,Retired,Success,Russia
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",25/04/1973,Tsyklon-2,Cosmos 556,Retired,Failure,Kazakhstan
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",25/04/1973,Voskhod,Cosmos 555,Retired,Success,Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",05/05/1973,Voskhod,Cosmos 554,Retired,Success,Russia
NASA,"LC-39A, Kennedy Space Center, Florida, USA",14/05/1973,Saturn V,Skylab 1,Retired,Success,USA
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",16/05/1973,Titan III(24)B,OPS 2093,Retired,Success,USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",17/05/1973,Cosmos-2I (63SM),Cosmos 558,Retired,Success,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",18/05/1973,Soyuz U,Cosmos 559,Retired,Success,Russia
CNES,"ELD, Guiana Space Centre, French Guiana, France",22/05/1973,Diamant B,Castor & Pollux,Retired,Failure,France
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",23/05/1973,Voskhod,Cosmos 560,Retired,Success,Russia
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",24/05/1973,Cosmos-3MRB (65MRB),BOR-3 Shuttle,Retired,Success,Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",25/05/1973,Cosmos-3M (11K65M),Zaliv #17,Retired,Failure,Russia
NASA,"LC-39B, Kennedy Space Center, Florida, USA",25/05/1973,Saturn IB,Skylab 2,Retired,Success,USA
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",25/05/1973,Voskhod,Cosmos 561,Retired,Success,Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",29/05/1973,Vostok-2M,Meteor n†­26,Retired,Success,Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",05/06/1973,Cosmos-2I (63SM),Cosmos 562,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",06/06/1973,Voskhod,Cosmos 563,Retired,Success,Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",08/06/1973,Cosmos-3M (11K65M),Cosmos 564 to 571,Retired,Success,Russia
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/06/1973,Voskhod,Cosmos 572,Retired,Success,Kazakhstan
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",12/06/1973,Titan III(23)C,DSP-4,Retired,Success,USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/06/1973,Soyuz,Cosmos 573,Retired,Success,Kazakhstan
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",20/06/1973,Cosmos-3M (11K65M),Cosmos 574,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",21/06/1973,Voskhod,Cosmos 575,Retired,Success,Russia
