Country,Active,Retired,TotalCompaniesPerCountry,Company,Year,Rocket,MissionStatus,RocketStatus,Location,Date,Mission,SuccessfulLaunches,UnsuccessfulLaunches,SuccessToFailureRatio,SuccesfullLaunches,UnsuccessfullLaunches,TotalLaunches
USA,,,,US Air Force,,Thor DM-18 Able-III,,,"SLC-17A, Cape Canaveral AFS, Florida, USA",07/08/1959,Explorer 6,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/08/1959,Discoverer 5,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",19/08/1959,Discoverer 6,,,,,,
USA,,,,NASA,,Atlas-D Mercury,,,"LC-14, Cape Canaveral AFS, Florida, USA",09/09/1959,Big Joe 1,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/09/1959,Luna-2,,,,,,
USA,,,,US Air Force,,Thor DM-18 Able-II,,,"SLC-17A, Cape Canaveral AFS, Florida, USA",17/09/1959,Transit 1A,,,,,,
USA,,,,US Navy,,Vanguard,,,"LC-18A, Cape Canaveral AFS, Florida, USA",18/09/1959,Vanguard 3,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/10/1959,Luna-3,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",07/11/1959,Discoverer 7,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",20/11/1959,Discoverer 8,,,,,,
USA,,,,General Dynamics,,Atlas-D Able,,,"LC-14, Cape Canaveral AFS, Florida, USA",26/11/1959,Pioneer P-3,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",04/02/1960,Discoverer 9,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",19/02/1960,Discoverer 10,,,,,,
USA,,,,General Dynamics,,Atlas-LV3 Agena-A,,,"LC-14, Cape Canaveral AFS, Florida, USA",26/02/1960,Midas 1,,,,,,
USA,,,,US Air Force,,Thor DM-18 Able-IV,,,"SLC-17A, Cape Canaveral AFS, Florida, USA",11/03/1960,Pioneer 5,,,,,,
USA,,,,US Air Force,,Thor DM-18 Able-II,,,"SLC-17A, Cape Canaveral AFS, Florida, USA",01/04/1960,TIROS-1,,,,,,
USA,,,,US Air Force,,Thor-DM21 Ablestar,,,"SLC-17B, Cape Canaveral AFS, Florida, USA",13/04/1960,Transit 1B,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/04/1960,E-3 nâ Â­2 (Luna-3),,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",15/04/1960,Discoverer 11,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",16/04/1960,E-3 nâ Â­3 (Luna-3),,,,,,
USA,,,,US Air Force,,Thor DM-19 Delta,,,"SLC-17A, Cape Canaveral AFS, Florida, USA",13/05/1960,Echo 1,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/05/1960,Korabl-Sputnik 1,,,,,,
USA,,,,General Dynamics,,Atlas-LV3 Agena-A,,,"LC-14, Cape Canaveral AFS, Florida, USA",24/05/1960,Midas 2,,,,,,
USA,,,,US Air Force,,Thor-DM21 Ablestar,,,"SLC-17B, Cape Canaveral AFS, Florida, USA",22/06/1960,Transit 2A & GRAB-1,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",29/06/1960,Discoverer 12,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",28/07/1960,1K nâ Â­2 (Korabl-Sputnik 2),,,,,,
USA,,,,NASA,,Atlas-D Mercury,,,"LC-14, Cape Canaveral AFS, Florida, USA",29/07/1960,Mercury-Atlas 1 (MA-1),,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",10/08/1960,Discoverer 13,,,,,,
USA,,,,US Air Force,,Thor DM-19 Delta,,,"SLC-17A, Cape Canaveral AFS, Florida, USA",12/08/1960,Echo 1A,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",18/08/1960,Discoverer 14,,,,,,
USA,,,,US Air Force,,Thor-DM21 Ablestar,,,"SLC-17B, Cape Canaveral AFS, Florida, USA",18/08/1960,Courier 1A,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",19/08/1960,Korabl-Sputnik 2,,,,,,
USA,,,,US Air Force,,Thor-DM18 Agena-A,,,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",13/09/1960,Discoverer 15,,,,,,
USA,,,,General Dynamics,,Atlas-D Able,,,"LC-12, Cape Canaveral AFS, Florida, USA",25/09/1960,Pioneer P-30,,,,,,
USA,,,,US Air Force,,Thor-DM21 Ablestar,,,"SLC-17B, Cape Canaveral AFS, Florida, USA",04/10/1960,Courier 1B,,,,,,
Kazakhstan,,,,RVSN USSR,,Molniya,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/10/1960,1M nâ Â­1 (Marsnik 1),,,,,,
USA,,,,General Dynamics,,Atlas-LV3 Agena-A,,,"SLC-3W, Vandenberg AFB, California, USA",11/10/1960,Samos 1,,,,,,
Kazakhstan,,,,RVSN USSR,,Molniya,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",14/10/1960,1M nâ Â­2 (Marsnik 2),,,,,,
USA,,,,US Air Force,,Thor DM-21 Agena-B,,,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",26/10/1960,Discoverer 16,,,,,,
USA,,,,US Air Force,,Thor DM-21 Agena-B,,,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",12/11/1960,Discoverer 17,,,,,,
USA,,,,NASA,,Mercury-Redstone,,,"LC-5, Cape Canaveral AFS, Florida, USA",21/11/1960,Mercury-Redstone 1 (MR-1),,,,,,
USA,,,,US Air Force,,Thor DM-19 Delta,,,"SLC-17A, Cape Canaveral AFS, Florida, USA",23/11/1960,TIROS-2,,,,,,
USA,,,,US Air Force,,Thor-DM21 Ablestar,,,"SLC-17B, Cape Canaveral AFS, Florida, USA",30/11/1960,Transit 3A & GRAB-2,,,,,,
